Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,ventral side,,STOP,147.132,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,NA,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,147.133,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,4415,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,150.5,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,4516,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,154.167,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,4626,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,158.467,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,4755,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,171.667,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,5151,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,178.2,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,5347,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,192.433,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,5774,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,START,195.033,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,5852,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,breath,,see blowholes,,POINT,199.4,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,5983,NA,
mn220207-93 video 1 TR,4/3/2023 15:07,,574.6,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov;C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,573,30,,mother present,,other,,STOP,212.8,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220207-93/CATS 93-20220207-120650-000-00001.mov,6385,NA,
