Observation id,Observation date,Description,Observation duration,Observation type,Source,Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,179.667,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,5391,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,188.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,5641,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,START,190.533,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,5717,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,3rd whale present,,,STOP,198.033,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,5942,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,travel,,surface,STOP,199.999,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,travel,,water column,START,200.000,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,6001,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,travel,,water column,STOP,209.099,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,NA,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,travel,,surface,START,209.100,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,6274,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,216.833,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,6506,NA,
mn220202-88 video 1 TR,2023-03-06 15:02:30,,582.264,Media file(s),player #1:C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,583.500,30.000,,breath,,see blowholes,POINT,225.600,C:/Users/hawai/Desktop/BORIS videos and data/Videos/2022/mn220201-88/CATS 88-20220201-081258-000-00001.mov,6769,NA,
