178.905,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
199.406,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
210.905,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
225.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,mother present,,other,,,STOP
225.658,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,mother present,,ventral side,,,START
262.656,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,fish present,,no visible particulates,swimming close to the whale. unsure if feeding,,POINT
279.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,travel,,water column,,,STOP
284.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,rest,,water column,,,START
380.655,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
388.154,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
397.156,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
406.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
421.657,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,3rd whale present,,,,,START
434.156,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,3rd whale present,,,,,STOP
522.904,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,mother present,,ventral side,,,STOP
530.158,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
537.406,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
543.405,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,3rd whale present,,,,,START
547.157,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
554.154,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,3rd whale present,,,,,STOP
557.658,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
562.155,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,mother present,,other,,,START
568.409,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,breath,,cannot see blowholes,,,POINT
576.654,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,3rd whale present,,,,,START
583.052,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,3rd whale present,,,,,STOP
583.052,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,mother present,,other,,,STOP
583.052,C:/Users/aholl/Documents/Tag analysis/CATS/tag_data_raw/Hawaii/2022/mn220201-88/raw/CATS 88-20220201-093456-000-00009.mov,583.500,30.0,,rest,,water column,,,STOP
